index,id,sg_uf,nm_meso_regiao,nm_micro_regiao,setor,nm_divisao,de_faixa_faturamento_estimado,vl_faturamento_estimado_aux,de_nivel_atividade,idade_emp_cat,de_saude_tributaria,de_saude_rescencia,fl_optante_simples,fl_optante_simei,fl_simples_irregular,fl_passivel_iss,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,fl_spa,fl_st_especial,fl_email,fl_telefone,fl_rm,fl_antt,fl_veiculo,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,fl_matriz,qt_filiais,lat,lng
2323,368325,RN,LESTE POTIGUAR,NATAL,INDUSTRIA,FABRICACAO DE MOVEIS,"ATE R$ 81.000,00",50000.0,ALTA,1 a 5,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2324,399318,RN,LESTE POTIGUAR,NATAL,INDUSTRIA,FABRICACAO DE MOVEIS,"ATE R$ 81.000,00",50000.0,ALTA,1 a 5,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2325,274219,AC,VALE DO JURUA,TARAUACA,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,1 a 5,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-8.421823616596022,-70.81611548305162
2326,439923,AC,VALE DO JURUA,TARAUACA,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,1 a 5,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-8.421823616596022,-70.81611548305162
2327,326885,AC,VALE DO JURUA,TARAUACA,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,1 a 5,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-8.421823616596022,-70.81611548305162
2328,364282,AC,VALE DO JURUA,TARAUACA,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,1 a 5,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-8.421823616596022,-70.81611548305162
2329,186401,AC,VALE DO JURUA,TARAUACA,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,1 a 5,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-8.421823616596022,-70.81611548305162
2330,51196,AM,CENTRO AMAZONENSE,MANAUS,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-3.4079143324329624,-59.8661312808591
2331,419947,AM,CENTRO AMAZONENSE,MANAUS,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-3.4079143324329624,-59.8661312808591
2332,680,AM,CENTRO AMAZONENSE,MANAUS,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-3.4079143324329624,-59.8661312808591
